team, pquarter, psemi, pfinal
NSH, 0.8, 0.7, 0.6
COL, 0.2, 0.2, 0.2
WPG, 0.8, 0.5, 0.5
MIN, 0.2, 0.2, 0.2
VEG, 0.6, 0.5, 0.5
LAK, 0.5, 0.3, 0.3
ANA, 0.4, 0.3, 0.3
SJS, 0.6, 0.4, 0.4
TBL, 0.6, 0.5, 0.5
NJD, 0.4, 0.3, 0.3
BOS, 0.5, 0.4, 0.4
TOR, 0.6, 0.4, 0.4
WAS, 0.8, 0.5, 0.5
CBJ, 0.2, 0.3, 0.3
PIT, 0.7, 0.6, 0.6
PHI, 0.3, 0.3, 0.3
