team,odds,percent
CHI,450,.26
WAS,550,0.41
PIT,800,0.13
MIN,800,.18
COL,1000,.13
MON,1400,.09
NYR,1400,.12
SJ,1400,.11
ANH,1400,.11
EDM,1600,.13
CGY,2500,.08
OTT,2500,.05
NSH,2800,.03
STL,2800,.1
TOR,2800,.01
BOS,2800,.05

